Date,Open,High,Low,Close,Volume,Adj Close
2006-08-25,100.57,101.74,100.57,101.00,84000,30.90
2006-08-24,100.28,100.41,99.64,100.41,132600,30.72
2006-08-23,101.10,101.52,99.76,100.03,345000,30.60
2006-08-22,100.54,101.35,100.54,101.35,227400,31.01
2006-08-21,100.60,100.90,100.23,100.79,308400,30.83
2006-08-18,98.95,99.85,98.27,99.62,110400,30.48
2006-08-17,98.96,98.96,97.82,98.80,460800,30.23
2006-08-16,99.81,100.74,99.04,99.50,188400,30.44
2006-08-15,99.63,99.75,98.80,99.64,236400,30.48
2006-08-14,100.12,100.12,98.56,98.84,272700,30.24
2006-08-11,101.06,101.16,100.13,100.65,130500,30.79
2006-08-10,100.94,101.29,100.09,101.17,238500,30.95
2006-08-09,101.85,103.00,101.35,101.73,224100,31.12
2006-08-08,101.45,102.30,100.80,101.06,154800,30.92
2006-08-07,101.25,102.19,100.57,101.45,183000,31.04
2006-08-04,102.42,102.42,100.02,100.88,142200,30.86
2006-08-03,101.22,102.56,101.22,101.91,242700,31.18
2006-08-02,102.97,103.95,101.79,102.56,335400,31.38
2006-08-01,101.60,102.15,100.45,102.09,260700,31.23
2006-07-31,100.27,102.16,100.27,101.76,269100,31.13
2006-07-28,99.39,100.45,98.84,100.18,198300,30.65
2006-07-27,101.32,101.85,99.42,100.05,362400,30.61
2006-07-26,98.80,100.92,98.12,100.50,546900,30.75
2006-07-25,97.72,98.90,97.30,98.80,184800,30.23
2006-07-24,94.57,97.12,94.57,96.87,348000,29.64
2006-07-21,95.71,95.84,94.15,94.15,240900,28.80
2006-07-20,98.67,98.75,95.78,95.78,220500,29.30
2006-07-19,97.00,98.55,96.83,98.39,563700,30.10
2006-07-18,97.82,98.03,95.56,97.16,218700,29.72
2006-07-17,99.20,99.21,96.55,97.10,176100,29.71
2006-07-14,99.48,100.13,97.98,100.09,242400,30.62
2006-07-13,100.44,100.60,98.89,99.13,189000,30.33
2006-07-12,101.17,101.33,99.98,100.36,214200,30.70
2006-07-11,100.00,101.02,99.42,100.60,181800,30.78
2006-07-10,100.35,100.35,98.90,99.31,220200,30.38
2006-07-07,101.35,101.78,99.18,99.63,248400,30.48
2006-07-06,101.11,101.55,100.37,100.68,276600,30.80
2006-07-05,101.50,101.50,99.13,100.79,456900,30.83
2006-07-03,100.57,101.33,100.27,101.08,181800,30.92
2006-06-30,99.58,100.11,98.91,99.50,298500,30.44
2006-06-29,97.00,99.16,96.97,99.10,196500,30.32
2006-06-28,95.15,96.05,94.88,95.75,190800,29.29
2006-06-27,95.35,96.12,94.37,94.69,255900,28.97
2006-06-26,93.75,94.95,93.07,94.72,142500,28.98
2006-06-23,93.40,94.31,93.15,93.62,144600,28.64
2006-06-22,91.76,92.55,91.16,92.20,230400,28.11
2006-06-21,90.70,92.89,90.53,91.75,150900,27.97
2006-06-20,90.77,91.62,89.65,89.80,766500,27.38
2006-06-19,92.46,92.46,89.77,90.10,784200,27.47
2006-06-16,93.35,93.86,91.91,93.14,326400,28.40
2006-06-15,91.80,94.28,91.77,93.73,325200,28.57
2006-06-14,89.13,90.19,88.68,90.00,794700,27.44
2006-06-13,89.66,90.77,87.63,88.00,1052400,26.83
2006-06-12,94.00,94.02,90.67,90.67,426000,27.64
2006-06-09,93.80,94.75,92.41,93.37,213600,28.47
2006-06-08,92.22,94.00,89.79,93.73,775200,28.57
2006-06-07,96.00,96.60,93.66,93.71,382800,28.57
2006-06-06,97.40,97.90,96.00,96.91,297900,29.54
2006-06-05,101.42,101.42,97.55,97.57,376800,29.75
2006-06-02,100.76,101.00,99.63,100.93,259800,30.77
2006-06-01,97.85,99.73,97.34,99.21,470700,30.25
2006-05-31,97.60,99.00,96.88,99.00,336300,30.18
2006-05-30,98.40,99.19,96.83,96.86,265800,29.53
2006-05-26,97.53,98.46,97.08,98.26,273300,29.96
2006-05-25,95.51,97.75,95.21,97.53,220200,29.73
2006-05-24,94.77,95.70,92.35,94.17,331200,28.71
2006-05-23,96.87,98.20,95.36,95.36,550200,29.07
2006-05-22,94.29,95.53,92.32,94.90,555900,28.93
2006-05-19,95.00,96.65,93.52,95.88,626100,29.23
2006-05-18,97.90,97.90,95.36,95.36,433800,29.07
2006-05-17,100.02,100.08,96.39,97.24,564300,29.64
2006-05-16,100.42,100.79,98.54,99.77,364500,30.42
2006-05-15,99.83,100.82,98.43,99.59,655500,30.36
2006-05-12,105.00,105.00,102.22,102.42,595500,31.22
2006-05-11,107.90,107.90,105.51,105.82,225000,32.26
2006-05-10,106.06,107.40,105.56,107.40,302700,32.74
2006-05-09,105.15,106.64,105.00,106.31,258600,32.41
2006-05-08,104.04,105.00,103.52,104.90,312900,31.98
2006-05-05,105.52,105.52,104.51,105.30,217200,32.10
2006-05-04,103.70,104.90,102.50,104.10,458400,31.74
2006-05-03,105.86,106.00,103.50,104.46,257700,31.85
2006-05-02,104.81,105.75,104.21,105.75,1816200,32.24
2006-05-01,103.34,104.42,103.12,103.61,263400,31.59
2006-04-28,101.84,103.00,101.78,102.27,373200,31.18
2006-04-27,100.46,102.55,99.50,100.80,507300,30.73
2006-04-26,103.67,104.74,102.01,102.11,324300,31.13
2006-04-25,105.53,105.83,102.50,103.25,674100,31.48
2006-04-24,105.38,105.38,104.00,104.00,356400,31.71
2006-04-21,103.83,105.85,103.83,105.63,240900,32.20
2006-04-20,104.90,104.99,102.11,103.57,351300,31.57
2006-04-19,103.50,105.19,102.79,105.00,375000,32.01
2006-04-18,101.39,103.70,101.39,103.70,323400,31.61
2006-04-17,99.90,100.75,99.90,100.72,346500,30.71
2006-04-13,97.97,99.13,97.25,99.04,270900,30.19
2006-04-12,99.37,99.43,98.37,98.93,178800,30.16
2006-04-11,100.80,100.90,98.55,98.95,240000,30.17
2006-04-10,99.75,99.98,99.11,99.79,305700,30.42
2006-04-07,99.55,99.76,98.00,98.29,402300,29.97
2006-04-06,99.96,100.19,98.53,99.50,311400,30.33
2006-04-05,97.82,99.26,97.52,99.07,268800,30.20
2006-04-04,96.57,97.85,96.22,97.45,480600,29.71
2006-04-03,97.05,98.18,96.54,96.67,1598700,29.47
2006-03-31,96.80,96.80,95.25,95.97,568800,29.26
